,data_base,modalidade,porte,curto_prazo,ativo_problematico,Endividamento de Curto Prazo,Ativo Problemático
0,2012-12-01,PJ - Capital de giro,PJ-Micro,22548500608.78,2602432205.93,40842763541.77877,4713862134.980318
0,2013-12-01,PJ - Capital de giro,PJ-Micro,21878738562.46,2426556026.46,37466155604.47565,4155345858.299169
0,2014-12-01,PJ - Capital de giro,PJ-Micro,19922616816.46,2904117506.98,32017558733.722115,4667195765.796226
0,2015-12-01,PJ - Capital de giro,PJ-Micro,17215077487.78,4108531607.7599998,25042852074.028835,5976699748.673266
0,2016-12-01,PJ - Capital de giro,PJ-Micro,14931779663.03,2775989729.17,20302700748.64765,3774505787.290809
0,2017-12-01,PJ - Capital de giro,PJ-Micro,15695013098.26,2668387125.99,20758444948.90909,3529246322.4119287
0,2018-12-01,PJ - Capital de giro,PJ-Micro,6345185105.43,1782705648.89,8065882861.908339,2266142705.419875
0,2019-12-01,PJ - Capital de giro,PJ-Micro,7601754417.34,1812975163.84,9356784768.84054,2231539914.07686
0,2020-12-01,PJ - Capital de giro,PJ-Micro,12973545496.65,4079010493.18,15308775173.40806,4813229705.494868
0,2021-12-01,PJ - Capital de giro,PJ-Micro,14688010212.92,3993999868.15,15651144156.361376,4255897619.2648463
0,2022-12-01,PJ - Capital de giro,PJ-Micro,18648620562.61,5940471988.23,18764236097.446114,5977301031.096322
0,2012-12-01,PJ - Capital de giro,PJ-Pequeno,33262395494.99,5669600039.11,60249157032.90783,10269513604.98281
0,2013-12-01,PJ - Capital de giro,PJ-Pequeno,35310742784.29,5363051095.45,60467735828.96519,9183934726.54992
0,2014-12-01,PJ - Capital de giro,PJ-Pequeno,38681842693.32,6257899906.38,62165436487.1752,10057046202.722567
0,2015-12-01,PJ - Capital de giro,PJ-Pequeno,32771339094.23,6912792256.73,47672617087.38746,10056070559.465475
0,2016-12-01,PJ - Capital de giro,PJ-Pequeno,25257160450.56,7063825487.79,34342093304.385246,9604664564.824434
0,2017-12-01,PJ - Capital de giro,PJ-Pequeno,19960347159.92,5806687700.85,26399835736.756977,7680006777.883188
0,2018-12-01,PJ - Capital de giro,PJ-Pequeno,20564435683.75,4137681003.46,26141133251.48372,5259744158.652094
0,2019-12-01,PJ - Capital de giro,PJ-Pequeno,26220648288.54,4227227529.49,32274255266.087032,5203174950.263113
0,2020-12-01,PJ - Capital de giro,PJ-Pequeno,48258808126.63,8164364657.29,56945361924.231384,9633944938.524714
0,2021-12-01,PJ - Capital de giro,PJ-Pequeno,59185199630.09,10075884950.36,63066138837.427414,10736588930.356253
0,2022-12-01,PJ - Capital de giro,PJ-Pequeno,72367800147.88,16749818356.38,72816457564.1709,16853661919.56361
